event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ
CA-17420-47436-49877-49951-58488[INC][51/1]	1	1	0.9924812030075189	1	0.9981203007518796	1	1	1	1	0.9819548872180452
CA-17434-5710-9330-9458-9974[INC][69/1]	1	1	1	1	0.9973684210526315	1	1	1	1	1
CA-17448-7825-8535-8619-10280[INC][345/2]	1	1	1	1	1	1	1	1	1	1
CA-17775-13442-15697-15980-16389[INC][1/358]	4.901960784313625e-4	0.01871657754010695	0	0	0.023504273504273487	0	0.009615384615384612	0.02017027598422947	0.007224080267558517	0.014560051439024824
CA-17827-7070-7152-7229-7676[INC][50/1]	1	1	0.9981801637852593	0.9987113402061856	0.9964687730887914	0.9971590909090908	0.9987515605493135	1	1	1
CA-17846-3206-28592-28874-85227[INC][67/4][UPT][DNT]	1	1	0.947368421052632	1	1	1	1	1	1	0.942857142857143
CA-17846-3206-11289-11385-28592[INC][1/109][UPT]	0	0	0	0	0	0	0	0.027027027027027	0	0.032258064516129
CA-17904-3287-3780-3887-4080[INC][1/473]	0.0078125	0	0.003584229390681	0	0.003690036900369	0.0122448979591837	0.0039215686274509	0.0041152263374485	0.0033444816053511	0
CA-17904-3287-4080-4224-4423[INC][463/1]	0.98125	0.993939393939394	0.994186046511628	0.988888888888889	1	0.994082840236686	0.976470588235294	1	1	1
CA-17904-3287-3472-3492-4080[INC][3/473]	0.0039215686274509	0	0	0	0	0	0	0	0.0033444816053511	0.0072992700729927
CA-17904-3887-4080-4224-4423[INC][22/1][UPT]	1	1	1	1	1	1	1	1	1	1
CA-17904-4767-5061-5106-5792[INC][169/447][DNT]	0.238095238095238	0.21788497217068642	0.22198338080536834	0.21174368042697758	0.26554848820744764	0.22901128826459138	0.2249692607587344	0.21577407299511353	0.2164382593181804	0.24811258092377542
CA-17904-4767-5478-5536-5792[INC][5/447][DNT]	0.157894736842105	0.1508449914823228	0.176781847607464	0.14335086275429174	0.19258448607700218	0.21961196944902614	0.20578033241533014	0.19767153190507605	0.1783817757174069	0.17409770233143076
CA-17904-4767-5478-5540-5792[INC][1/447][DNT]	0.0588235294117647	0.0625	0.176470588235294	0.12793872793872793	0.0909090909090909	0.11688311688311695	0.0557029177718833	0.6529460002960913	0.222222222222222	0.142857142857143
CA-17938-4215-6825-12741-13822[INC][2/572]	0	0	0	0	0	0	0	0	0	0
CA-17955-16440-17673-17805-19710[INC][74/2]	1	0.9964285714285714	0.993421052631579	1	1	0.9971590909090908	1	1	1	0.9796992481203007
CA-17972-13104-13641-13699-14120[INC][31/2]	0.9979166666666666	0.9956709956709956	0.9926943084455324	0.9950396825396824	0.9946452476572958	0.9964194459386766	0.9935866013071896	1	0.9972899728997291	0.9696992481203007
CA-17972-14219-18132-18281-18813[INC][1/19]	0	0	0	0	0	0	0.009523809523809528	0.0033222591362126286	0.005714285714285714	0
CA-17993-3136-3637-3687-39568[INC][1/149][UPT]	0	0	0	0	0	0	0	0	0	0
CA-17993-3136-39568-39647-74065[INC][146/2][UPT]	1	0.971428571428571	1	1	1	1	1	1	1	1
CA-17993-74238-83204-83278-102228[INC][135/4][DNT]	1	1	1	0.971428571428571	0.951807228915663	1	0.972222222222222	1	0.975609756097561	0.92
CA-17995-4380-4453-4624-5716[INC][168/1]	1	0.9968253968253968	0.9918286959436808	0.9956799214531173	0.9908860800671504	1	0.9956651407962269	1	0.9972899728997291	0.9730659983291561
CA-18002-11095-11409-11492-12281[INC][234/3][DNT]	1	1	1	1	1	0.977272727272727	1	1	1	1
CA-18045-10440-12046-12177-14537[INC][55/4]	1	1	1	1	1	1	1	1	1	0.894736842105263
CA-18102-5714-8193-8295-10741[INC][352/1]	1	1	1	1	0.986842105263158	1	1	1	1	1
CA-18102-8295-10741-10854-12008[INC][309/1][DNT]	1	1	0.987261146496815	0.989690721649485	0.988439306358382	1	0.98876404494382	1	1	1
CA-18103-3513-3785-3972-6106[INC][1/572]	0	0	0	0	0	0	0	0.0232558139534884	0.04	0
CA-18103-3513-6106-6208-6995[INC][545/1]	1	1	1	1	1	1	1	1	1	1
CA-18105-3142-6531-6619-10653[INC][22/5][UPT]	1	0.9968253968253968	0.9941520467836258	1	0.9985380116959064	0.9974747474747474	1	1	1	0.9819548872180452
CA-18117-10329-10925-11154-12038[INC][1/99]	0	0	0	0	0	0	0.0666666666666667	0	0	0
CA-18148-5101-5285-5379-5766[INC][1013/2]	1	1	1	1	1	1	1	1	1	1
CA-18176-3748-4654-4750-4916[INC][1/111]	0	0	0	0	0	0	0.009523809523809528	0.007183262997216486	0.005714285714285714	0.0053763440860215
CA-18176-3748-4654-4756-4916[INC][2/111]	0	0	0	0	0	0	0.009523809523809528	0.007183262997216486	0.005714285714285714	0.0053763440860215
CA-18176-8169-8831-8873-8949[INC][39/2][DNT]	1	0.9968253968253968	1	1	0.9983552631578947	0.9971590909090908	1	1	1	1
CA-18203-3160-10783-10849-11111[INC][22/5][UPT]	1	1	1	1	1	0.818181818181818	1	0.909090909090909	1	0.91304347826087
CA-18203-3160-10606-10709-10783[INC][33/22][UPT]	1	1	1	0.727272727272727	1	1	1	1	0.6	0.739130434782609
CA-18203-3160-10606-10849-11111[INC][1/5][UPT]	1	1	0.882352941176471	1	1	0.846153846153846	1	0.888888888888889	1	0.931034482758621
CA-18203-12802-14841-14895-15330[INC][63/3]	0.902439024390244	0.931034482758621	0.928571428571429	1	0.939393939393939	1	1	0.942857142857143	0.882352941176471	0.941176470588235
CA-18203-16158-18404-18518-18858[INC][43/10][DNT]	1	0.925925925925926	1	0.933333333333333	0.935483870967742	0.92	1	1	1	1
CA-18356-39412-44027-44237-47656[INC][1/60][DNT]	0	0	0	0	0	0	0	0	0	0
CA-18356-39412-46836-46886-47656[INC][1/60][DNT]	0	0	0	0	0	0	0	0	0	0
CA-18472-28074-36774-36859-37100[INC][83/1]	1	0.9959183673469386	1	1	1	1	1	1	1	1
CA-18521-16609-19456-19498-20573[INC][77/3]	1	1	1	1	1	1	1	1	1	1
CA-18521-16609-18316-18409-19456[INC][86/85]	0.5957086350946	0.6389397882818937	0.7095472003517981	0.6681338843166204	0.6412277070168096	0.719077733815032	0.6951938864286427	0.6843027284523187	0.6911953256441836	0.52
CA-18521-18409-19456-19498-20573[INC][92/1]	1	0.888888888888889	1	0.91304347826087	0.904761904761905	0.6610521835289601	1	1	0.904761904761905	1
CA-18521-20646-21144-21167-22120[INC][1/12]	0.9981249999999999	0.9961519961519962	0.9926943084455325	0.9987654320987654	1	0.9766152650768034	0.9973856209150327	0.9909090909090909	1	0.9722930514692529
CA-18521-20646-21144-21183-22123[INC][42/3]	1	1	1	1	1	1	1	1	1	0.9868421052631579
CA-18521-20646-21144-21183-22120[INC][94/12]	1	1	0.894736842105263	1	1	0.818181818181818	1	0.727272727272727	0.882352941176471	1
CA-18537-17534-17924-18118-18963[INC][1/115]	0	0	0	0	0	0	0	0	0	0
CA-69749-3233-3491-3554-3961[INC][1/1][UPT][DNT]	0.9979166666666666	0.9965367965367964	0.997938577000938	0.997619956726486	0.9972534901801711	0.9968172852788236	0.9961371814643462	1	1	1
CA-18674-3406-4632-4757-4920[INC][2/820]	0	0	0	0	0	0	0	0	0	0
CA-18674-4757-4920-5042-7257[INC][2/47]	1	1	1	1	1	1	1	1	1	1
CA-18746-3282-9672-9789-11832[INC][1/1425][UPT]	0	0	0	0	0	0	0.008333333333333337	0	0	0
CA-18746-3282-3719-3903-11832[INC][1/1425][UPT]	0	0	0	0	0	0	0.008333333333333337	0	0	0
CA-18777-23757-25375-25423-27418[INC][98/2]	1	0.9959183673469388	1	1	1	0.9962121212121211	1	1	1	1
CA-18777-32182-34494-34596-36063[INC][58/5]	1	0.9968253968253968	1	1	0.9983552631578947	0.9974747474747474	1	1	1	0.9894736842105264
CA-18789-18123-18982-19049-23225[INC][92/1]	1	0.9968253968253968	0.993421052631579	1	1	0.9974747474747474	1	1	1	0.9819548872180452
CA-18789-25517-26853-26965-27641[INC][55/2]	1	1	1	1	1	1	1	1	0.857142857142857	1
CA-18813-5358-5605-5711-5799[INC][166/1]	1	0.9959183673469386	1	1	0.9978070175438596	1	1	1	1	1
CA-18950-3291-6549-6719-8955[INC][77/1][UPT]	0.9981249999999999	0.996151996151996	0.9920906237845638	0.997619956726486	0.9975281411621539	0.9968172852788236	0.9961371814643462	1	1	0.9819548872180452
CA-18968-8668-10658-10770-11240[INC][2/15]	0	0	0	0	0	0	0	0	0	0
CA-19027-14556-15505-15677-16591[INC][2/169]	0	0	0	0	0	0	0.009523809523809528	0.0033222591362126286	0.005714285714285714	0
CA-19069-28862-28976-29095-29651[INC][137/1][DNT]	1	1	0.9918286959436808	0.9956799214531173	0.9908860800671504	0.9974747474747474	0.9956651407962269	1	0.9972899728997291	0.9757593984962405
CA-19070-3115-8432-8495-16879[INC][118/4][UPT]	1	1	1	0.882352941176471	1	1	1	1	1	1
CA-19070-8495-16879-16980-20303[INC][4/1]	1	1	1	1	1	0.9962121212121211	1	1	1	1
CA-19070-16980-20074-20117-20303[INC][120/4]	1	1	1	0.96078431372549	1	1	1	1	1	1
CA-19073-3114-12832-12977-15649[INC][97/3][UPT][DNT]	1	1	1	1	1	1	1	1	1	1
CA-19166-10565-13356-13430-14961[INC][269/1]	0.986301369863014	0.985915492957746	0.987654320987654	0.985815602836879	1	0.988950276243094	1	1	0.974842767295597	1
CA-19167-3145-7110-7189-11696[INC][1/2][UPT]	1	1	1	1	1	1	1	1	1	1
CA-19167-3145-7110-7217-11696[INC][9/2][UPT]	1	1	1	1	1	1	1	1	1	1
CA-19167-3145-7110-7193-11696[INC][274/2][UPT]	1	1	1	1	1	1	1	1	1	1
CA-19167-15313-16801-16867-18862[INC][126/2]	0.06917240791062404	0.07863776008937298	0.05656682027649771	0.06666258988913445	0.0769230769230769	0.06953925589374503	0.07989312733700583	0.09972721396250808	0.04548366847566565	0.05429712907324846
CA-19181-17272-17653-17726-18261[INC][153/1]	1	1	1	1	1	1	1	1	1	1
CA-19182-4547-4632-4695-4889[INC][182/1]	1	0.9959183673469386	1	1	0.9978070175438596	1	1	1	1	1
CA-19185-3038-4472-4500-8800[INC][1/192][UPT]	0	0	0	0	0	0	0.009523809523809528	0	0	0
CA-19185-11913-11999-12064-12561[INC][114/1][DNT]	1	1	1	1	1	1	1	1	1	1
CA-192170-6977-7508-7571-8340[INC][180/1]	1	1	1	1	1	1	1	1	0.875	1
CA-19244-25284-27583-27714-28986[INC][95/7]	1	1	1	1	1	1	1	1	1	1
CA-19244-27714-28986-29061-30235[INC][118/1][DNT]	1	1	1	0.948717948717949	1	1	1	1	1	1
CA-19255-3180-15694-15785-31897[INC][85/1][UPT]	1	1	1	1	0.9981203007518796	0.9967532467532466	1	1	1	1
CA-19260-31565-32964-32992-44822[INC][8/1]	1	1	1	1	1	1	1	1	1	1
CA-19264-52003-61280-61352-62663[INC][11/3]	0.974025974025974	0.956989247311828	0.974025974025974	0.942028985507246	0.857142857142857	0.951807228915663	0.945945945945946	0.925925925925926	0.972222222222222	0.96875
CA-19264-52003-55721-55850-58139[INC][5/2]	0	0.0588235294117647	0	0	0.111111111111111	0	0.0769230769230769	0.6529460002960913	0.6547696415655948	0.0769230769230769
CA-19264-52003-58139-58286-61280[INC][1/11]	0.12	0.133333333333333	0.142857142857143	0.25	0.310344827586207	0.163636363636364	0.162162162162162	0.0684931506849315	0.107142857142857	0.227272727272727
CA-19264-58286-60411-60552-61280[INC][3/2]	0.07038510283946389	0.15791925465838513	0.14357940152841558	0.238095238095238	0.130434782608696	0.1330282131661442	0.15438596491228068	0.1290448343079921	0.08871321914800177	0.12305588902227552
CA-19286-3085-3409-3618-4692[INC][1/34][UPT]	0	0.0909090909090909	0	0.6517517076783694	0.0769230769230769	0	0	0.0909090909090909	0.6547696415655948	0
CA-19286-3085-3409-3496-4692[INC][6/34][UPT]	0	0.0909090909090909	0	0	0.0769230769230769	0	0.0909090909090909	0	0.6547696415655948	0
CA-19324-17101-20211-20307-24482[INC][264/5]	1	1	1	1	1	0.9962121212121211	1	1	1	1
