gene	L2/3_IT_VISp_Rrad	L2/3_IT_VISp_Adamts2	L2/3_IT_VISp_Agmat	L2/3_IT_ALM_Sla	L2/3_IT_ALM_Ptrf	L2/3_IT_ALM_Macc1_Lrg1	L4_IT_VISp_Rspo1	L5_IT_VISp_Hsd11b1_Endou	L5_IT_VISp_Whrn_Tox2	L5_IT_VISp_Batf3	L5_IT_VISp_Col6a1_Fezf2	L5_IT_VISp_Col27a1	L5_IT_ALM_Npw	L5_IT_ALM_Pld5	L5_IT_ALM_Cbln4_Fezf2	L5_IT_ALM_Lypd1_Gpr88	L5_IT_ALM_Tnc	L5_IT_ALM_Tmem163_Dmrtb1	L5_IT_ALM_Tmem163_Arhgap25	L5_IT_ALM_Cpa6_Gpr88	L5_IT_ALM_Gkn1_Pcdh19	L6_IT_ALM_Tgfb1	L6_IT_ALM_Oprk1	L6_IT_VISp_Penk_Col27a1	L6_IT_VISp_Penk_Fst	L6_IT_VISp_Col23a1_Adamts2	L6_IT_VISp_Col18a1	L6_IT_VISp_Car3	L5_PT_VISp_Chrna6	L5_PT_VISp_Lgr5	L5_PT_VISp_C1ql2_Ptgfr	L5_PT_VISp_C1ql2_Cdh13	L5_PT_VISp_Krt80	L5_PT_ALM_Slco2a1	L5_PT_ALM_Npsr1	L5_PT_ALM_Hpgd	L5_NP_VISp_Trhr_Cpne7	L5_NP_ALM_Trhr_Nefl	L5_NP_VISp_Trhr_Met	L6_NP_ALM_Trh	L6_CT_Nxph2_Sla	L6_CT_ALM_Cpa6	L6_CT_VISp_Krt80_Sla	L6_CT_VISp_Nxph2_Wls	L6_CT_VISp_Ctxn3_Brinp3	L6_CT_VISp_Ctxn3_Sla	L6_CT_VISp_Gpr139	L6b_Col8a1_Rprm	L6b_VISp_Mup5	L6b_VISp_Col8a1_Rxfp1	L6b_ALM_Olfr111_Spon1	L6b_ALM_Olfr111_Nxph1	L6b_P2ry12	L6b_VISp_Crh	L6b_Hsd17b2	Lamp5_Krt73	Lamp5_Fam19a1_Pax6	Lamp5_Fam19a1_Tmem182	Lamp5_Ntn1_Npy2r	Lamp5_Plch2_Dock5	Lamp5_Lsp1	Lamp5_Lhx6	Sncg_Slc17a8	Sncg_Vip_Nptx2	Sncg_Gpr50	Sncg_Vip_Itih5	Serpinf1_Clrn1	Serpinf1_Aqp5_Vip	Vip_Igfbp6_Car10	Vip_Igfbp6_Pltp	Vip_Lmo1_Fam159b	Vip_Lmo1_Myl1	Vip_Igfbp4_Mab21l1	Vip_Arhgap36_Hmcn1	Vip_Gpc3_Slc18a3	Vip_Ptprt_Pkp2	Vip_Rspo4_Rxfp1_Chat	Vip_Lect1_Oxtr	Vip_Rspo1_Itga4	Vip_Chat_Htr1f	Vip_Pygm_C1ql1	Vip_Crispld2_Htr2c	Vip_Crispld2_Kcne4	Vip_Col15a1_Pde1a	Sst_Chodl	Sst_Mme_Fam114a1	Sst_Tac1_Htr1d	Sst_Tac1_Tacr3	Sst_Calb2_Necab1	Sst_Calb2_Pdlim5	Sst_Nr2f2_Necab1	Sst_Myh8_Etv1	Sst_Chrna2_Glra3	Sst_Myh8_Fibin	Sst_Chrna2_Ptgdr	Sst_Tac2_Myh4	Sst_Hpse_Sema3c	Sst_Hpse_Cbln4	Sst_Crhr2_Efemp1	Sst_Crh_4930553C11Rik	Sst_Esm1	Sst_Tac2_Tacstd2	Sst_Rxfp1_Eya1	Sst_Rxfp1_Prdm8	Sst_Nts	Pvalb_Gabrg1	Pvalb_Th_Sst	Pvalb_Calb1_Sst	Pvalb_Akr1c18_Ntf3	Pvalb_Sema3e_Kank4	Pvalb_Gpr149_Islr	Pvalb_Reln_Itm2a	Pvalb_Reln_Tac1	Pvalb_Tpbg	Pvalb_Vipr2	Meis2_Adamts19	CR_Lhx5	Astro_Aqp4	OPC_Pdgfra_Grm5	OPC_Pdgfra_Ccnb1	Oligo_Rassf10	Oligo_Serpinb1a	Oligo_Synpr	VLMC_Osr1_Cd74	VLMC_Spp1_Hs3st6	VLMC_Osr1_Mc5r	VLMC_Spp1_Col15a1	Peri_Kcnj8	SMC_Acta2	Endo_Ctla2a	Endo_Cytl1	PVM_Mrc1	Microglia_Siglech
11428//Aco1	1.24624423778405	1.87903843322086	1.58180286979824	1.8229975424936	2.15434142592123	1.89998715503974	1.76609361983856	1.70061067007731	1.4849391519066	1.7402052165414	1.92332312374618	1.52607127607507	1.86470552313904	2.18996501026725	1.39072967019554	2.24206487682216	1.75878449058883	1.74784240072124	1.94729299671471	1.82782611361548	1.54773862286231	1.43914115485856	1.70374788977701	1.75552198639729	1.87627857951033	1.95311630446911	2.17634351389306	1.46906190329022	1.61187988040337	1.58525670178148	1.11840045245161	0.861366668151745	1.26901098283435	1.5030464375516	1.39172268331574	1.38000440013699	1.88121636846812	1.36098810374441	1.7567467589385	1.77176991154348	1.08062117547936	1.52799208119806	1.26694775311932	1.64180794868782	1.00927593939333	1.41621996892997	0.689811373981307	0.545106937730342	0.0841253702126359	0.777948767757714	0.803618842101529	-0.130321798332812	1.57393429580792	1.5474951169903	0.433239830558505	1.86937573931467	2.81211297535803	2.28066556363479	2.08812459976692	2.3883610094163	2.31159857309881	2.30221551825517	1.67396354120718	2.04688534894737	1.61468527829872	2.23201580695875	2.00939473684894	2.06170192335597	2.13171775314155	1.61042728215202	2.37087678590092	2.01479077836068	2.4241010099699	1.89398657703448	1.29602802230838	2.43101004969731	2.08220638623562	2.08438372178846	2.1852643783684	2.15170230361298	1.4835138771119	2.15780501456185	1.2970842205427	1.92757945627104	1.7527111686204	1.93360333508989	0.300076877071763	0.351171470065082	1.05230571178983	1.63277113909692	1.50776440443408	1.75557722791799	1.57507757158721	2.01488668824554	1.4057150669303	1.75430652295982	0.677357220361779	1.14627223814904	1.37822509224643	1.26794129556196	1.42808516486237	1.48240642452837	0.868688515635712	1.71218463232137	0.783972883507585	1.73358741501456	2.30290937239391	1.86303048603149	2.14828762446229	2.40536771313488	2.2876724187438	2.44824963423877	1.7519175296463	1.92909468609728	1.5041025725519	1.97196316181693	3.66728445861212	3.59117950859544	3.68540557445847	4.68546516163927	4.48220137018389	3.40574764147428	3.39069562368021	3.82043418702614	-3.4433839302723	3.56337457812273	3.31961242145489	3.81531682161445	2.35076282877656	2.67772309074245	-2.06074553244335	3.16293552590575	2.22160804222283
11640//Akap1	-0.051113967691015	1.93682090864093	1.39329777534513	1.84642261473819	1.81004639053368	1.245276846818	1.87963953719405	1.37375437120213	0.684099544721521	1.21483290163921	0.939499255517033	1.57527175463096	1.36865816845659	1.22381632918244	1.03023133740384	1.46034910913108	1.15835126834635	1.40812711874721	1.17200431741242	1.37033744001295	1.2128255443264	1.34114020918246	1.3826308693536	1.43935832366288	1.1461875126445	1.69817169954934	1.40993607849533	1.37061737160295	1.76832129533597	2.25301945296484	1.75124760713493	1.25678478908849	1.14964133611037	2.37774631247443	1.88769695454865	1.85076634799087	0.656825645147956	1.22892751574621	0.934822087015866	1.23488547531067	1.36791605120871	1.07717071736136	1.2550027115758	1.80583729104911	1.49403934829651	1.40186379476468	2.21813206355858	1.12883295896132	1.03047331697345	1.44808038348525	1.57276955900526	1.69926718770816	1.86397722854932	1.96362287205906	1.06477314770009	1.56100296389601	1.31366404900797	1.28904455489097	1.68086704351805	1.82363368112071	1.53823686709573	1.2043464417987	1.3089218791016	0.934253221166676	1.5178473022471	0.920748080080632	0.363363828229044	1.61999939017391	1.55689954778325	0.949006238258477	0.685372506817116	0.518466743257616	1.82903426869311	1.07766805855283	1.39798866881235	1.57958802655248	1.23932127285371	0.500776466955563	0.691955296399163	0.426777456244697	1.19225378117174	0.661315091482256	1.19303598263893	0.954012586513597	1.44950964407992	1.06184151851585	1.75055468078892	1.46314763925194	2.32195638557439	1.66428743746648	1.51267587398043	1.56384564885554	1.56003589410992	1.09380596320758	1.73548875021638	1.24054402216993	1.70975738340321	0.736556759443342	1.67395296123743	1.16013131518036	1.29296823730909	0.764997024319446	1.30587420067079	1.20348505937449	0.907282870233208	1.79042836624054	0.986028505755717	1.31541451119683	1.01385938747165	0.790655395499403	1.60369473159122	1.38671719492731	1.07668836961174	1.50275254998176	1.19026930416445	1.03978175357434	2.77957840685567	2.0820826016698	3.187890391235	2.00972148095619	1.27845573650227	1.0834784670965	1.04172930914639	1.11092737696638	-3.47748158044088	0.471623453207003	1.7082888938099	1.21632746254305	2.40920949278442	0.569337337328268	1.59027189463662	2.10330795481221	-0.646656705988353
11991//Hnrnpd	5.03277939122888	4.40396160688634	4.30913096127003	4.05009398410194	4.08204891791333	3.92088074929398	4.59683703464375	4.38316565543363	4.25640939603433	4.37452369604089	4.14140123098688	4.17858500784614	4.16095917871086	4.16887859456025	4.03761126157751	4.27707346603141	4.11212149552654	4.0233268559317	3.72343008906655	3.8621383061868	3.76060631694232	3.75538032244109	3.74563242728028	4.19524024612833	4.42908664773263	4.16635531088718	4.26594034706229	4.02066185972342	4.28147625994066	4.26649760563114	4.09847804584437	4.19472911597738	4.18032253304636	3.57134871640321	3.54902464383985	3.82615701225768	4.71161456740881	4.47189648876152	4.65387431781711	4.60782616293991	4.32891529760665	4.07525719495719	4.18726494829139	4.4457763876174	4.27632259226849	4.33916947928506	3.86760463097924	4.09087563314456	4.34955852258229	4.13478332630801	4.29341402868062	4.40904840291495	4.44594597797585	4.12622369736733	4.03589295675151	4.63511719247213	4.73726895619802	4.60201784156208	4.66346168553928	4.67686543443709	4.41294175139538	4.5659800015711	4.58734523590151	4.73798544839195	4.67843781254101	4.51205300795932	4.55541331532189	4.71779613804563	4.84973274849336	4.83445239720242	4.78425050168788	4.54963990506858	4.81073976747026	4.82162770365182	4.82964780155745	4.69901353312618	4.86931765944442	4.58100437939728	4.76007234015621	4.5909303477994	4.71845535010317	4.71703645941575	4.42818406528132	4.74441502196104	4.04545557432542	4.19836137790885	4.42689536335121	4.86812804984318	4.54580950106954	4.41789145887507	4.29161581444022	4.35462467987126	4.4649534788279	4.61249496273502	4.34640124592694	4.2955878615	4.42779186681869	4.34805986964399	4.43691621845169	4.35956804832955	4.20648364128438	4.35932842253512	4.22574986765236	4.38005145357521	4.35728390762792	4.65218387624479	4.50398827920053	4.43168677109749	4.36379132400138	4.21915729195675	4.42749077581605	4.27477308463931	4.49752241687309	4.38266762502418	4.53651392136949	4.76915168426062	4.3602000831146	3.23450911180743	4.757701625282	3.68790661577079	3.48713672137203	3.37541185049213	2.69234864362693	3.53374133203178	3.322385981271	3.58387813618694	3.696018778155	4.15285611930254	3.88048054664988	4.13329409262334	1.59453577365896	3.85465460139485	4.18989144163274
12192//Zfp36l1	-2.64227061629109	-2.49546315995558	-2.56568400527842	-2.97829198197706	-0.992898280591196	-3.20864301829871	-2.30779024895695	-2.31779062502931	-2.63686153626385	-2.35027604652734	-2.63418671488406	-2.76794508738212	-2.83988747027511	-0.379105129693982	-2.15828100225437	-2.75213917915674	-2.82799120629329	-2.99766712347559	-3.07307596099446	-2.99138717122869	-3.02964242766138	-2.95733112527386	-3.07737680161588	-2.79661780497901	-2.57138576715105	-2.45484767743394	-2.73050788546648	-2.4610471246933	-2.62764665440269	-2.36498946114051	-2.49096252597102	-2.48852735362188	-2.59764139582966	-2.74468870454653	-2.91329318056922	-2.91924042145439	-2.62432180776746	-2.94076567887202	-2.14701024781747	-2.891068063801	-2.67355381406503	-3.02140935470046	-2.8096055161055	-2.82805216951377	-2.73880337748033	-2.78518995810769	-2.83498634181951	-2.96581016323068	-2.98079075088161	-3.13552631588989	-3.09351568923588	-3.07324417683638	-3.12166729587547	-2.82257635120937	-3.07342228893945	-2.87351630330328	0.73267877132816	-1.30651545625918	-2.74553220552071	-1.84809913085316	-2.58579913627673	-2.70458275043109	-2.04029204688407	-2.63815091101055	-2.8674428282148	-2.75749285095038	-2.72937755237647	-2.64676910914579	-2.77719729216746	-2.53672031905036	-2.75776768191439	-2.72916253832952	-2.56302155077474	-2.76343956377632	-1.14767492859058	-2.67383065977526	-2.62633839033567	-2.64181029895759	-2.61185301967477	-2.56515723435509	-2.62410716960554	-2.37983167979333	-2.28906858713408	-2.68099066824482	-2.67391904326168	-2.53997205390559	-2.45395999420576	-2.05608610215506	-2.43367946069489	-2.59862093219395	-2.91826020135493	-2.53890482834693	-2.4917825256977	0.307194040241176	-2.63744445441555	-2.93400787649124	-2.35293900919595	-2.65150758660018	-2.66340837433468	-2.50332568743683	-2.66424321780171	-2.42116757753188	-2.177917605428	-2.35142982254486	-2.57954323726354	-2.5549222507829	-2.16950206424909	-2.50451291965342	-2.1699200201506	-2.77195346342736	-2.46954549255977	-2.72814636902175	-2.49994216463894	-2.61736098300144	-2.9439035606717	-0.405137169066153	-2.21040377620101	4.82130975655499	5.57560162100087	5.38101272024529	-3.02796344134504	-2.36067192062575	-2.78255316635821	4.58218604503018	3.77041783551206	5.75707357970471	5.8175898145021	5.42271194858886	4.8632133386401	6.00321314188968	6.04503622012261	6.49942102416044	6.88144058741152
12193//Zfp36l2	-2.2658962595408	-1.89943683390636	-2.10943828577234	-2.80325249665124	-2.03944037442273	-2.61115377532089	-1.46444872845025	-1.65029995082125	-2.77606642588258	-1.77961644618585	-2.87783292851948	-2.43209928122503	-2.527368682066	-0.963182242469366	-2.03925136067101	-2.29630864374781	-2.33296257300258	-2.82174066422135	-2.60316896645265	-2.31203702892676	-2.56565146752829	-2.57155231535698	-2.61800513937401	-2.51397459369933	-2.6005406530145	-2.21650071005585	-2.1419369077951	-2.5876234792792	-2.02859764340661	-1.54538329379683	-2.18021887414309	-2.27352973815761	-2.20415077187317	-1.91905971435378	-2.05652005720917	-2.67350031414565	-2.76886488008424	-2.14511633405421	-2.13551774419523	-2.24633048454241	-1.85879128831119	-2.29450718875052	-2.72976253121401	-2.51387465786267	-2.55722282836239	-2.6952074931205	-2.31453492354641	-2.59722717510015	-2.57195454788246	-3.20984591571982	-1.55084291670284	-3.05335868119659	-2.61370173249223	-1.88708907133115	-2.52855270710514	-2.70222831374441	-2.27627485493649	-0.742969966612768	-2.24926272596236	-1.651695878153	-1.88800803107443	-2.22807250791114	-1.29986080369349	-2.142938773567	-2.357235451768	-2.67293118848637	-2.77048845245521	-1.98213575313435	-2.63099217599618	-2.20859854463037	-2.0073123547579	-2.14694612768495	-2.58765535001816	-0.811167165171552	-0.739376285731867	-1.71836657767476	-1.0903448282227	-1.19139073366296	-1.55523696891843	-1.68289871270153	-1.42191402793622	-1.03426641396281	-2.1374666800038	-2.92463688188022	-1.62451053657759	-1.62853471702341	-2.27765307248923	-1.82340580759904	-2.73874278651658	-2.56559909788343	-3.06723898416024	-2.19584564857965	-1.97505776226391	-0.531389316547653	-2.39179192853124	-2.65340405086582	-2.1397053219635	-1.7559900867445	-1.87285015796089	-2.19540133283521	-2.08701271487854	-2.5231429913351	-2.16972581105801	-2.01502118109617	-1.78579883282286	-2.31629231007887	-2.16375601022743	-1.78388936368325	-1.51213156621442	-2.70995560827112	-2.17229509569098	-2.37567433182721	-2.14894657989814	-2.24865042860517	-2.60242447426283	-1.5229502951454	1.78910857527619	4.65387775262945	4.30514043359995	4.42198969364249	-3.27160965498046	1.27318457112607	-1.14846122227638	2.53586438946818	-0.207465570574166	3.69783785926306	4.73306995901382	2.91828361442868	2.04918969492705	2.35047515460226	3.59470817105656	4.40124260343803	5.54336138639446
12696//Cirbp	6.01244718513209	6.1265983765482	6.01456513099937	6.0632700819788	6.20895893947836	6.05335477998741	5.83860895799551	6.20889721077084	6.17195140026149	6.2044758623552	6.27941376996921	6.20209966861659	6.30072130569147	6.06053344854754	6.20440349419049	6.22218594497115	6.59473457465866	6.60344861962686	6.27014946429445	6.10821188210189	6.23803394135053	5.99521428727939	5.83660043906506	5.81439634578312	5.69170902302109	5.73510495457109	6.16799225411804	5.72704950258059	6.4268750417647	6.16063386267857	6.24037117847414	6.33659011822374	6.22041796585779	5.75880090682893	5.93030968133816	6.05553378067143	6.43137554696392	6.5020349744816	6.56919638899191	6.71900392409398	5.88418096782736	5.76664709810627	5.8440909607141	5.92271126712166	5.58460658719406	5.64848856387544	5.69495967124889	5.83782496952651	5.94034193011737	5.80125777725985	6.14370337639078	6.54777600833805	6.71377681043229	6.38744204759154	6.37683442379968	6.83406538314583	6.64216929723492	6.37750553685646	6.5815685551617	6.69270636803274	6.44710844282905	7.22113088693619	6.7467304443256	6.69751777770417	6.58960336696478	6.7697276671964	7.1330931604243	7.02028899810238	6.70112801288747	7.00096107039817	7.29707389802309	6.99080767143787	7.03749862831954	6.89948328512841	7.15643980183343	6.8739411744827	6.95371661801983	6.71039639967146	6.80662861888593	7.00697863538875	6.99226370831889	6.51359995414525	6.58421469471298	6.86047627100541	6.12502491681327	6.83907304240758	6.92379784971636	6.63191282996458	6.89152285232915	6.90476349526692	6.48661069717721	6.61809043159017	6.65851929409369	6.91059544380827	6.69736772881449	6.50360182540466	7.12059533592972	7.07949240747046	6.97665683463075	6.74029612072677	6.49129909117237	6.57315582566294	6.91621428856036	6.91915705509724	6.69171662889622	6.96289080211729	6.84433980592002	6.89711029835581	6.74992241190939	6.66102516278055	6.82611489918599	6.86297704514937	7.20072751619486	6.97664236859908	7.21232303407398	7.84312894203588	7.52224533142191	5.48681892292484	5.10155457978294	1.52186259910408	5.42029360292331	5.46286691233378	5.39473292596495	5.84130653941414	4.75897396649534	5.88900165436846	5.72392055246429	4.72457318427142	5.86884897746984	5.26030728619913	5.42869996816572	5.94874323419138	5.5430815578562
12877//Cpeb1	4.01705168312232	4.93334092797662	4.53196056567784	4.84636849746248	4.9591787172365	4.53924340269171	3.18192469169717	3.47243432109912	4.09545092159247	4.14466470071717	4.07563654188302	3.75752128575749	4.49513263241632	3.95862415342664	3.83402623484217	3.77065406330163	4.24693147454153	3.81998410787219	4.50411741379661	4.25129554889214	4.44028126712213	4.71124471773412	4.58985052462302	4.70734975451358	4.02882886917555	4.73140874353588	3.9806072831215	4.18188493544361	3.46212957303226	3.03495857669109	3.65341642015316	3.76954518905613	3.55803535268235	4.13633343013316	3.83727388412138	3.65452262393756	3.06628600857853	3.67502033966394	2.40715389379797	3.66927072000576	3.75215095747739	4.15224960993908	4.28463429227286	3.31647796867487	4.05133214454774	4.03535436462678	4.32989726859876	3.66619977554521	2.7098203418126	3.12589522073498	2.9768970278381	2.94115601809972	3.31264096522312	2.79299042049287	3.90344908808364	3.22363384463363	2.86696047748736	2.90474588786553	3.18995272145032	3.76509177092574	3.64099956130578	3.54681434874722	2.89229825622554	3.34884571935461	3.15425377014954	3.53066940595941	3.30579328270158	4.02840529903903	3.44021809322928	3.20352630189385	3.67944891175185	3.49007147425058	2.74775013410968	3.23238718778695	3.25443500742992	3.49139338139936	2.95478557552983	2.88004464518526	3.64109561224405	3.2902705834793	3.45661053692302	3.34475595485805	3.30475392135137	2.59987831430147	3.47288852300684	3.44336637918692	3.36418825886916	3.23938189327302	3.04355339378992	3.29315328006244	3.28610435002048	3.3300806858901	3.44750931434679	3.45174127184192	3.20008511226801	3.41197346164025	3.32492809292876	3.52512966427536	3.52314077942715	3.70070993942986	3.89651603633363	3.33136814624702	3.11175918645675	3.45252842859247	4.16330145271537	3.63178729458079	3.07662252641641	3.60058665109011	3.1151267909127	3.48801480205613	3.57799963987889	3.90652410404403	3.62551052334893	3.13671782440492	3.25819676267825	4.41998947927758	4.51641558434451	3.15596154768265	3.46027734456003	-2.91897358038527	2.44026840187074	2.99936628875625	3.38573931420929	-2.06195227196365	-1.02416416589066	1.46186608643644	3.47322144850453	-1.70331802074013	2.9552637365732	-2.65372289487924	-1.58881716031537	0.418375176807251	-1.14726482804805
13046//Celf1	4.15452795330727	4.69136352266973	4.39299775390649	4.23128974967341	3.92529347446635	3.9762767107461	5.10964647234689	4.16519616075729	3.69815967863115	3.57985912452378	3.78071819699034	3.51793910933247	4.22162684182271	4.16667370431796	4.12000021798772	4.37249970940499	4.01723503506503	3.84820878454533	3.60756280852479	3.52361780443757	3.41832341302959	3.44151711814318	3.72123304760245	3.90935064905865	4.29216488717984	4.18959579812283	4.34500896224207	3.66337332215386	4.06286404986321	3.51655278180208	3.7743077103285	3.62257450220275	3.5801808508425	3.26462601948231	3.30990574265459	3.34590649710831	3.50617134841908	3.51364407742403	3.47016350762361	3.27833739733193	3.43462499389479	3.68283420278356	3.73816092398949	3.96129324192086	3.96376949445488	4.11260264561889	3.78936622889881	3.27912908395386	3.92021319138682	3.83872718013346	3.36207935041919	3.361374512687	3.43099227260039	3.80404104190737	2.28952840114743	3.24024162830997	3.59850103370345	3.6127037730857	3.84780050487919	3.68736431398952	3.74216737444204	3.48947243252579	2.68690011228057	3.44081556119839	3.37660134072887	3.08392322507267	3.63332409769968	3.45549597428554	3.79005538469957	3.633853988261	3.70730584584945	3.52507285264067	4.1879547566493	3.46462575115576	3.58668711336632	3.79058189647679	3.77975785874832	3.61565662361321	3.76135274846473	3.5228102471894	3.84214930594376	3.47930529924589	3.18657044526326	3.42131276899807	2.50064781030026	2.73775824954824	3.16054256048135	3.66831735296441	3.33149902283717	3.15286745940403	2.94486658361711	2.8777480755531	3.40202181888803	3.39454046326423	3.23499246757909	3.53266614194496	3.00859851747249	2.90982546778117	2.73924749510477	2.99743845342244	3.00407968936368	3.30975952980662	2.96951735047026	3.24436162906147	2.96356418593437	2.62175410630367	2.70061393133724	2.30248589025659	2.42360890945983	2.28710372010238	2.6888193383418	2.96310733634566	2.97922412437257	2.74012427552066	3.45780415033814	4.78295185104095	3.43225335635361	3.60045076180529	4.40766177191427	3.96996495974252	2.00746612939168	2.40141205345735	2.24363655087906	2.8292101747214	3.28429633003077	2.87987435734311	2.80595400517626	3.74037404615962	3.81800180049529	3.43136144326723	0.044974102446614	3.27884421883711	4.00173945206493
13164//Dazl	1.43159524393859	1.59977952519647	1.73210995735099	1.20713520951952	1.12240553442815	1.55244924406693	1.65280825463964	1.85077650206579	2.07089783062357	1.80373192323152	1.62733631419342	1.85662777777833	1.96997372533819	1.70083164900628	1.89886768716952	1.42735065239179	1.39541527248934	1.42690824424964	1.64275559285148	2.28317388927619	1.76006654774175	1.7408749896837	1.52384031985893	1.66712156391193	2.06042128573132	2.26473538513687	1.41490012214089	1.18917542513948	1.40515616016203	1.60796981741728	2.17254403937223	2.09021986800977	2.05308535254053	2.08167307728706	1.88838568091957	2.00377352576483	1.57978688388102	1.19059209861442	1.67257643913224	1.92232649695964	2.06217319730879	2.64846705101176	2.30555967751014	1.71858389641721	2.5939370427275	2.30011991461007	1.40016409065642	1.84930516426303	2.01533218615139	1.70872983617526	1.96286525304818	1.00714774522612	0.335084421455762	1.81953184326538	0.74251245057575	0.394558157704746	0.127115742941854	1.2250821379228	0.676279530999577	0.25641494556823	1.23984153653515	0.43319064026116	-0.878071349963595	-0.138403223040551	-0.0691713549163714	-0.174235176697117	0.636353530934663	-1.55133315145677	0.18234989129464	-0.788587673773592	-1.25696571476474	-0.041565534784192	-0.689273215936469	-1.59717717397048	-0.301019381693198	0.482745413316788	-0.397123093722393	-0.278595593867765	-1.0374885437303	-1.17184578458277	-1.46647189496518	-0.629811996944102	-2.10286061194578	-1.86936258962382	-0.834601561885901	-0.678624206044412	-0.437666126531025	-1.18811513674929	0.961428667301625	0.325185108564976	0.276441352097689	-2.54315605780147	0.305653066065276	-0.250923616318922	-0.109446935115935	-0.10517392446945	0.630045400025866	-1.49038512253586	-0.765825228032373	-0.119074565894092	0.308333869505988	0.143533067645435	0.059805625464032	-0.41539778242504	-0.183243532572549	-0.399626743579046	-1.15479121761245	-0.771202625517987	0.251450222052171	0.304718197140256	-1.57095288187159	-1.63459012397264	-1.14777850676061	-0.763937020190621	-3.25918847690505	0.819030137160883	-2.47954926146021	-1.78037334612206	-2.71649046534989	-3.12659765682069	-1.53720180256296	-3.04890868884986	-1.2736152952448	-3.26525762404906	-3.34348364523177	-3.07740039835946	-2.93633092795025	-1.95381472701399	-2.65195481162739	-2.86706223783451	-1.79644123675077	-0.391047197637088	-2.76664414163045
13665//Eif2s1	6.24995200585587	5.91987189635787	5.89474292520649	6.07617080469054	5.84165234663678	5.9782658904067	5.37594999536293	5.79592551847386	6.11822391676807	5.95635599378128	5.88938663763992	5.95077554545616	5.8955169057099	5.81157515170862	6.02007487824267	5.8962084819161	6.01933791200657	6.091770498449	6.21004847383217	5.98918359473025	6.11223592199063	6.00528498766309	5.94623013495495	5.95578251028409	6.13658542301606	5.91107186892172	5.91456288671212	6.14256594089372	5.95194945438382	5.96681634126891	5.98215861060671	5.93995969712836	6.06799650894994	5.70370575505034	5.81289427517543	6.0787554495386	5.77805251759762	5.9592720128922	5.9459485504521	5.7018518198621	6.04893710378577	6.11025157422182	6.01447464089383	6.1231065070742	6.04125334760966	6.04097920180698	5.93358763618147	6.02592907461245	6.13784100255018	6.02875512419167	6.1150889884431	5.97256230622448	5.77227984150107	6.01195609656178	6.06331305403562	5.92764285266706	6.02258625576144	5.89420905285014	5.92132662806503	5.80585810138301	5.75747298941374	5.85382815489954	6.25453807065756	6.03249003077243	5.822295620279	5.91192351216669	6.13450212625939	5.5990148429189	5.72197531516022	5.73349591012998	5.74782092408158	5.57279326731795	5.48290457555538	5.75186126636971	5.65498346257317	5.67274161173775	5.56370742769172	5.79099535482204	5.6522748223714	5.40014320640817	5.55232127486901	5.41058162582081	5.65605685068477	5.71398843598209	5.44220815710934	5.8455188469225	5.9069247449132	5.3653198517684	5.81307132867678	5.77334597239352	5.78656397612726	5.88908604269183	5.81370737897834	5.71577284258384	6.01555926505818	5.91943135943719	5.99209916498009	5.73121681785476	5.79401345158565	5.84482432090648	5.80561582244139	6.1342193780979	6.10088495872558	6.04093821581386	5.90146513650849	5.70939703683484	5.79970808710391	5.78369028923567	5.82059528994882	5.89671779893528	5.73368088518943	5.58336723666633	5.8185770463258	5.81653359454707	5.95779849936353	5.32750237461732	5.90098582351354	4.89408988620852	5.45019791869674	6.42701222318214	5.64066865287177	5.28896446837258	5.24122326244002	6.2140161699983	2.02371108719564	5.06923798380303	5.51406667180788	4.21582122674099	5.58943900253044	5.06320940870415	-1.6063157506927	5.15941665364829	5.09526825760271
