Regulator	Target	MI	pvalue
867	202299	0.2416111447322793	1.0
1050	546	0.33442634935401383	1.0
1050	545	0.3289820017894698	1.0
1052	9473	0.25778445344364176	1.0
1820	80262	0.340175512505569	1.0
430	56895	0.22818079983147754	1.0
430	56894	0.3023396283148587	1.0
468	222255	0.25113997593959203	1.0
430	56898	0.3056987808566758	1.0
4299	221491	0.46736378643642523	1.0
405	153571	0.44584446554073853	1.0
466	79800	0.3220226152626253	1.0
571	55832	0.47703218429567257	1.0
571	79800	0.317780658215162	1.0
466	55832	0.4092667808669699	1.0
604	100133205	0.2924310480662795	1.0
429	147495	0.3201573837958982	1.0
4299	55602	0.3194391334072263	1.0
604	56898	0.29668582840490537	1.0
1050	535	0.3367059762526896	1.0
1050	533	0.48211644261582476	1.0
604	56899	0.24429860931847447	1.0
466	126695	0.3088865708419508	1.0
430	147968	0.26340627761091095	1.0
1051	128866	0.3459864952701328	1.0
657	64170	0.2933495881684607	1.0
865	4076	0.2500906457899248	1.0
367	10602	0.27413053791326103	1.0
429	79866	0.2959274975188553	1.0
571	55848	0.2719174885428126	1.0
405	645455	0.3134842646358087	1.0
405	441425	0.3132875310914489	1.0
1050	539	0.34793622202999774	1.0
1050	55449	0.22735876167847202	1.0
1050	537	0.2766159756134785	1.0
1050	538	0.3544697380091071	1.0
571	55847	0.2696521713191711	1.0
571	55845	0.3142822512597047	1.0
865	345079	0.2746770891810657	1.0
867	90	0.25898855157503115	1.0
1050	521	0.35422231762798906	1.0
1050	79444	0.2929808725519263	1.0
867	91	0.26194169626459063	1.0
257	663	0.25393503713832555	1.0
1050	79447	0.3577128345435566	1.0
1050	522	0.3406739072006566	1.0
646	253559	0.27941702680498803	1.0
867	95	0.35153242162402715	1.0
196	164284	0.24443533720198518	1.0
867	98	0.351317215539134	1.0
867	97	0.28563573595239894	1.0
602	88	0.2904750796515403	1.0
867	29945	0.2911912055151875	1.0
865	53947	0.28158445428778034	1.0
466	138649	0.39939644980825106	1.0
571	80823	0.39633854071465713	1.0
466	54520	0.34580646945830296	1.0
405	201725	0.24407152887541983	1.0
4299	221477	0.3356296991474714	1.0
1050	529	0.26651979250920493	1.0
466	55856	0.2633655970004334	1.0
867	54901	0.228595607127124	1.0
1050	527	0.3271007298759406	1.0
571	55814	0.40261247178050696	1.0
867	54906	0.42063084244645665	1.0
466	54529	0.40046770459576386	1.0
1050	55421	0.26630602099642253	1.0
4299	114900	0.35506406397742296	1.0
1050	513	0.3969490405601912	1.0
466	342371	0.35576022433676946	1.0
865	89958	0.2525024852626503	1.0
657	90423	0.250872196609925	1.0
1050	514	0.2717603385107208	1.0
165	445571	0.23384842664405614	1.0
867	705	0.3313730607875763	1.0
867	87	0.2624862515737769	1.0
867	86	0.3131195805431126	1.0
1051	80279	0.2897067146151482	1.0
571	80833	0.25926493582167787	1.0
867	708	0.26332970764960884	1.0
865	128061	0.2960659663171741	1.0
4299	221481	0.29577711453368405	1.0
1050	517	0.3902964523115931	1.0
466	55845	0.2491397329473921	1.0
1050	518	0.37626466511394696	1.0
1050	515	0.2482978087715404	1.0
1050	516	0.3507469227602531	1.0
466	55847	0.2876414119325723	1.0
1050	587	0.3996760229863441	1.0
602	155066	0.24991994841537712	1.0
602	60	0.22774119881099608	1.0
867	30	0.3418086641340127	1.0
468	440574	0.34164056882343063	1.0
1050	582	0.2799611449494259	1.0
405	51582	0.3446314449930252	1.0
867	35	0.43814723472245887	1.0
1050	583	0.22969611592364192	1.0
1050	580	0.25952703322600446	1.0
604	79587	0.24788510965493238	1.0
1050	581	0.3829004169949315	1.0
867	37	0.3795536604979608	1.0
646	10645	0.35535602698477553	1.0
257	56851	0.27205567842597755	1.0
657	221927	0.48854019651624797	1.0
257	56853	0.29120822350405273	1.0
4299	1	0.2504009567994361	1.0
367	10632	0.5218290304988497	1.0
4299	55643	0.30622838824091136	1.0
4299	114926	0.35756392542117155	1.0
196	23431	0.3706845087225689	1.0
1050	573	0.29680264857595046	1.0
602	51	0.3453238289013587	1.0
867	23	0.2925734515723158	1.0
867	25	0.3987154868533912	1.0
1050	572	0.41513158640753234	1.0
